source_id,provider_id,source_name,delivery_method,data_categories,formats,data_update_freq,auth_required,license,attribution_required,connection_verified,evidence_level,evidence_ref,primary_url,recorded_at,reverify_after,notes
S011,P005,NDBオープンデータ,一括DL,レセプト由来の医療統計,UNKNOWN,年次(要確認),no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177182.html,2026-08-19,2026-11-19,
S012,P005,歯科保健医療に関するオープンデータ,一括DL,歯科,UNKNOWN,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000158505_00001.html,2026-08-19,2026-11-19,歯科に特化した数少ない公式データ
S013,P005,介護サービス情報公表システム,Web検索システム,介護事業所,UNKNOWN,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.kaigokensaku.mhlw.go.jp/,2026-08-19,2026-11-19,
S014,P011,障害福祉サービス等情報公表システム オープンデータ,一括DL,障害福祉事業所,UNKNOWN,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.wam.go.jp/content/wamnet/pcpub/top/sfkopendata/,2026-08-19,2026-11-19,
S015,P007,EDINET,Web+API(要確認),有価証券報告書等,XBRL他,随時,UNKNOWN,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://disclosure.edinet-fsa.go.jp,2026-08-19,2026-11-19,
S016,P008,日本銀行 時系列統計データ,一括DL,物価/短観/資金循環等16データセット,CSV(Shift_JIS)のZIP,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.stat-search.boj.or.jp/,2026-08-19,2026-11-19,認証不要との記載
S017,P009,登記所備付地図データ,一括DL,公図/地図,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.moj.go.jp/MINJI/minji05_00494.html,2026-08-19,2026-11-19,
S018,P010,交通事故統計オープンデータ,一括DL,交通事故,UNKNOWN,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-AJO,https://www.npa.go.jp/publications/statistics/koutsuu/opendata/index_opendata.html,2026-08-19,2026-11-19,
S019,P001,e-Gov 法令API,REST API,法令本文,UNKNOWN,UNKNOWN,no,UNKNOWN,UNKNOWN,no,E1,EV-WS,https://laws.e-gov.go.jp/,2026-08-19,2026-09-19,公式MCPは存在しない。第三者MCP実装が複数あり
S020,P013,医療機関届出情報データベース,Web検索システム,保険医療機関/届出項目,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,E1,EV-WS,https://caremap.jp/cities/search/facility,2026-08-19,2026-11-19,民間の再配布。一次情報は地方厚生局(S010)。利用規約の確認必須
